City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bambous virieux,-20.3428,57.7575,299.38,78,21,7.62,MU,1675801168
84,ankara,39.9199,32.8543,268.81,63,40,4.12,TR,1675800897
85,am timan,11.0297,20.2827,301.91,12,6,3.35,TD,1675801169
86,umm lajj,25.0213,37.2685,290.14,58,94,7.01,SA,1675801172
87,jamestown,42.097,-79.2353,281.92,60,100,4.63,US,1675800934
88,havre-saint-pierre,50.2334,-63.5986,261.98,80,13,3.17,CA,1675801175
89,geraldton,-28.7667,114.6,292.38,88,75,4.63,AU,1675801176
90,atambua,-9.1061,124.8925,296.55,87,74,0.37,ID,1675801177
91,puerto ayora,-0.7393,-90.3518,302.13,89,25,5.81,EC,1675801178
92,nabire,-3.3667,135.4833,296.7,92,100,1.44,ID,1675801180
93,butaritari,3.0707,172.7902,300.31,80,100,10.28,KI,1675801180
94,ilulissat,69.2167,-51.1,250.16,70,75,2.57,GL,1675801181
95,presidencia roque saenz pena,-26.7852,-60.4388,314.25,16,67,2.7,AR,1675801181
96,pierre,44.3683,-100.351,282.66,49,0,6.17,US,1675801037
97,aykhal,66.0,111.5,235.68,100,100,1.61,RU,1675801182
98,antofagasta,-23.65,-70.4,295.75,71,92,4.5,CL,1675801182
99,san pedro,14.35,121.0167,298.33,84,75,1.54,PH,1675800961
100,cidreira,-30.1811,-50.2056,299.05,64,16,4.82,BR,1675801136
101,namatanai,-3.6667,152.4333,299.29,82,100,2.68,PG,1675801185
102,flinders,-34.5833,150.8552,293.81,91,99,0.89,AU,1675801185
103,lasa,46.6166,10.7002,270.94,73,3,1.63,IT,1675801185
104,mogadishu,2.0371,45.3438,298.05,86,73,8.79,SO,1675801186
105,hilo,19.7297,-155.09,298.31,97,100,2.06,US,1675801186
106,thompson,55.7435,-97.8558,257.51,93,100,3.28,CA,1675801187
107,bratsk,56.1325,101.6142,256.42,100,100,1.78,RU,1675801187
108,mecca,21.4267,39.8261,292.24,51,93,4.64,SA,1675801124
109,yaring,6.8662,101.3689,299.42,86,25,2.81,TH,1675801188
110,acajutla,13.5928,-89.8275,303.11,49,12,4.19,SV,1675801188
111,avera,33.194,-82.5271,293.88,38,100,2.93,US,1675801189
112,sitka,57.0531,-135.33,276.09,81,75,1.54,US,1675801056
113,owensboro,37.7742,-87.1133,289.38,63,100,3.09,US,1675801145
114,itarema,-2.9248,-39.9167,300.37,75,100,5.31,BR,1675801190
115,rochegda,62.8,43.25,268.95,96,100,4.1,RU,1675801190
